HOLE.ID,DISTANCE,AZIMUTH,DIP
BHWS_485_54S_E_012,0,348,0
BHWS_485_54S_E_013,0,34.28,0
BHWS_485_54S_E_015,0,41.65,0
BHWS_485_54S_W_001,0,43.31,0
BHWS_485_54S_W_002,0,40.62,0
BHWS_485_64S_E_002,0,43,0
BHWS_485_64S_E_003,0,42.71,0
BHWS_485_64S_E_004,0,47.61,0
BHWS_485_SL_49S_E_001,0,29,0
BHWS_500_39S_W_002,0,65.31,0
BHWS_500_39S_W_003,0,59.9,0
BHWS_500_39S_W_004,0,51.53,0
BHWS_500_39S_W_005,0,50.9,0
BHWS_500_W_001,0,65.31,0
BHWS_500_W_002,0,58.35,0
BHWS_500_W_003,0,59.9,0
BHWS_500E_001,0,194.07,0
BHWS_500E_002,0,192.58,0
BHWS_500E_003,0,200.23,0
BHWS_500E_004,0,200.55,0
BHWS_500E_005,0,197.15,0
BHWS_500E_006,0,227.89,0
BHWS_500E_007,0,218.15,0
BHWS_500E_008,0,213.71,0
BHWS_500E_009,0,210.89,0
BHWS_500E_010,0,210.21,0
BHWS_500E_011,0,210.11,0
BHWS_500E_012,0,204.55,0
BHWS_500E_013,0,214.28,0
BHWS_500E_014,0,214.9,0
BHWS_500E_015,0,212.14,0
BHWS_500W_001,0,225.56,0
BHWS_500W_003,0,214.89,0
BHWS_500W_004,0,214.31,0
BHWS_500W_005,0,208.07,0
BHWS_500W_006,0,203.74,0
BHWS_500W_007,0,209.23,0
BHWS_500W_008,0,217.52,0
BHWS_500W_009,0,215.01,0
BHWS_500W_010,0,219.14,0
BHWS_500W_011,0,220.49,0
BHWS_500W_012,0,223.96,0
BHWS_500W_013,0,224.66,0
BHWS_500W_014,0,229.78,0
BHWS_500W_015,0,230,0
BHWS_500W_016,0,230.15,0
BHWS_500W_017,0,228.47,0
BHWS_500W_018,0,228.47,0
BHWS_509_E_001,0,55,0
BHWS_509_E_002,0,30.53,0
BHWS_509_E_003,0,28.2,0
BHWS_509_E_004,0,30.72,0
BHWS_509_E_005,0,52.99,0
BHWS_509_E_006,0,64.79,0
BHWS_509_E_008,0,57.13,0
BHWS_509_E_009,0,50.3,0
BHWS_509_E_010,0,45.71,0
BHWS_509_E_011,0,49.62,0
BHWS_509_E_012,0,64.11,0
BHWS_509_E_014,0,64.09,0
BHWS_509_E_015,0,46.8,0
BHWS_509_E_016,0,46.85,0
BHWS_509_E_017,0,43.92,0
BHWS_509_E_018,0,43.54,0
BHWS_509_E_019,0,44.42,0
BHWS_509_E_020,0,49.82,0
